experiment_id	dataset	budget	seed	config_path	output_root
r14_e6_r2_jobs_k6_seed42	jobs	6	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k6_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k6/seed42
r14_e6_r2_jobs_k6_seed123	jobs	6	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k6_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k6/seed123
r14_e6_r2_jobs_k10_seed42	jobs	10	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k10_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k10/seed42
r14_e6_r2_jobs_k10_seed123	jobs	10	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k10_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k10/seed123
r14_e6_r2_jobs_k14_seed42	jobs	14	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k14_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k14/seed42
r14_e6_r2_jobs_k14_seed123	jobs	14	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k14_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k14/seed123
r14_e6_r2_jobs_k18_seed42	jobs	18	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k18_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k18/seed42
r14_e6_r2_jobs_k18_seed123	jobs	18	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k18_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k18/seed123
r14_e6_r2_jobs_k22_seed42	jobs	22	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k22_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k22/seed42
r14_e6_r2_jobs_k22_seed123	jobs	22	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k22_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k22/seed123
r14_e6_r2_jobs_k26_seed42	jobs	26	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k26_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k26/seed42
r14_e6_r2_jobs_k26_seed123	jobs	26	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k26_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k26/seed123
r14_e6_r2_jobs_k30_seed42	jobs	30	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k30_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k30/seed42
r14_e6_r2_jobs_k30_seed123	jobs	30	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k30_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k30/seed123
r14_e6_r2_jobs_k34_seed42	jobs	34	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k34_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k34/seed42
r14_e6_r2_jobs_k34_seed123	jobs	34	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k34_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k34/seed123
r14_e6_r2_jobs_k38_seed42	jobs	38	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k38_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k38/seed42
r14_e6_r2_jobs_k38_seed123	jobs	38	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k38_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k38/seed123
r14_e6_r2_jobs_k42_seed42	jobs	42	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k42_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k42/seed42
r14_e6_r2_jobs_k42_seed123	jobs	42	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k42_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k42/seed123
r14_e6_r2_jobs_k46_seed42	jobs	46	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k46_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k46/seed42
r14_e6_r2_jobs_k46_seed123	jobs	46	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k46_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k46/seed123
r14_e6_r2_jobs_k50_seed42	jobs	50	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k50_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k50/seed42
r14_e6_r2_jobs_k50_seed123	jobs	50	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k50_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k50/seed123
r14_e6_r2_jobs_k54_seed42	jobs	54	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k54_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k54/seed42
r14_e6_r2_jobs_k54_seed123	jobs	54	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k54_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k54/seed123
r14_e6_r2_jobs_k58_seed42	jobs	58	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k58_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k58/seed42
r14_e6_r2_jobs_k58_seed123	jobs	58	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k58_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k58/seed123
r14_e6_r2_jobs_k62_seed42	jobs	62	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k62_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k62/seed42
r14_e6_r2_jobs_k62_seed123	jobs	62	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_jobs_k62_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/jobs/k62/seed123
r14_e6_r2_congressional_k6_seed42	congressional	6	42	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k6_seed42.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k6/seed42
r14_e6_r2_congressional_k6_seed123	congressional	6	123	paper-new-round-14/configs/experiments/single_node_tuning_e6_round14_budget_sweep/repeat2_180/r14_e6_r2_congressional_k6_seed123.yaml	paper-new-round-14/outputs/round14_lineage_e6_budget_sweep/repeat2_180/congressional/k6/seed123
